n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,2.19563,2.16438,0.977,1.46675,1.886,2.32225,13.828
4,1.82672,0.371264,0.907,1.467,1.886,1.90325,2.445
8,1.83113,0.407502,0.908,1.72875,1.885,1.956,2.375
16,1.77228,0.391577,0.908,1.467,1.8855,1.956,2.445
32,1.66306,0.359879,0.977,1.397,1.816,1.886,2.375
64,1.95563,0.377047,0.978,1.88575,1.886,2.32225,2.445
128,1.84859,0.339317,0.978,1.72875,1.886,1.95525,2.444
256,1.86375,0.407736,0.977,1.467,1.886,2.04325,2.445
512,1.72638,0.360144,0.908,1.467,1.885,1.886,2.445
1024,1.72419,0.368434,0.977,1.466,1.8855,1.886,2.375
