n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,7.18416,2.79894,4.819,6.14575,6.565,7.5595,21.369
4,5.77003,1.6558,2.374,4.661,6.25,7.0705,8.17
8,3.41091,0.534535,2.444,2.933,3.352,3.84025,4.33
16,3.32156,0.582371,2.374,2.863,3.352,3.841,4.26
32,3.411,0.507898,2.444,2.91575,3.352,3.7885,4.329
64,3.40869,0.530616,2.374,2.864,3.422,3.771,4.26
128,2.78019,0.598209,1.886,2.374,2.794,2.933,5.307
256,3.60297,1.84958,1.955,2.863,3.352,3.841,13.199
512,2.76287,0.527089,1.466,2.37475,2.794,2.88125,4.33
1024,2.76066,0.544969,1.816,2.37475,2.619,3.21225,4.26
