n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,51.7103,20.7409,15.722,37.5407,63.1685,64.4783,80.636
4,16.1238,1.85384,13.696,14.7965,15.897,16.665,22.5
8,16.5367,1.60657,15.233,15.862,16.212,16.6483,24.876
16,16.8947,2.18775,14.115,15.3205,16.3515,17.7138,21.382
32,16.7199,2.29681,15.442,16.1235,16.2815,16.631,29.068
64,16.6282,2.25316,15.163,15.8618,16.246,16.6475,28.649
128,16.4928,0.602173,15.023,16.1237,16.5255,16.8922,17.609
256,17.4755,3.39607,15.023,16.141,16.386,16.84,28.999
512,16.1064,2.33526,14.185,15.093,15.617,16.1585,27.67
1024,16.3947,3.0379,14.185,15.163,15.3725,16.1593,29.837
