n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,2.10397,0.494934,0.978,1.886,2.305,2.375,3.353
4,1.973,0.434592,0.907,1.885,1.886,2.37425,2.864
8,3.4265,2.51567,1.886,2.84575,2.864,3.352,17.041
16,7.59734,0.554971,6.286,7.4725,7.613,7.97925,9.149
32,47.4267,19.3777,40.019,40.6305,42.324,45.5365,149.879
64,302.326,6.20786,292.985,298.712,301.96,305.853,319.595
128,2357.83,118.822,2257.49,2276.05,2305.01,2412.5,2678.98
256,19627.9,2911.15,17887.2,17970.3,18414.5,19120.4,29286.6
512,142162,213.996,141729,142069,142140,142306,142541
1024,1.16006e+06,27968.1,1.14154e+06,1.14686e+06,1.15185e+06,1.15548e+06,1.26036e+06
