n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,9.66884,1.65505,5.729,8.81975,9.7105,10.0768,14.111
4,4.18716,1.45145,2.375,3.33575,3.8425,4.331,7.754
8,4.96009,0.64185,3.772,4.68075,4.82,5.30925,6.217
16,11.0485,1.5491,9.012,9.92,10.5135,11.9635,15.509
32,44.0676,2.14344,41.915,43.2947,43.731,44.0282,54.769
64,448.518,9.33136,437.942,442.536,447.898,450.797,477.902
128,3572.38,54.1046,3499.7,3532.85,3562.01,3581.09,3682.94
256,26408.6,569.742,26078.7,26195.9,26281.1,26394.1,29310
512,190733,4864.41,188268,188589,188976,189468,208547
1024,1.35531e+06,17727.1,1.34023e+06,1.34327e+06,1.34808e+06,1.36116e+06,1.41657e+06
