n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,17.478,2.24685,16.134,16.6045,17.111,17.6,29.124
4,18.6782,9.40772,15.784,16.5873,17.146,17.6,70.121
8,117.888,13.1019,112.515,114.645,115.797,116.461,189.271
16,845.918,62.2812,800.802,811.995,822.173,837.138,1032.61
32,5686.62,181.905,5406.43,5585.38,5626.08,5712.93,6173.78
64,40088.2,2546.6,37906,38911.8,39199.3,39763.6,48787.4
128,270169,3303.05,265607,267865,269533,271145,279195
256,1.90784e+06,13790.9,1.88701e+06,1.89816e+06,1.90394e+06,1.9195e+06,1.93268e+06
512,1.34129e+07,186374,1.32075e+07,1.3299e+07,1.33405e+07,1.34686e+07,1.40524e+07
1024,9.35194e+07,425516,9.27847e+07,9.32339e+07,9.3495e+07,9.37243e+07,9.44641e+07
