n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,1.73519,0.434635,0.907,1.397,1.886,1.955,2.794
4,1.73941,0.453942,0.908,1.397,1.885,1.95525,2.445
8,2.65619,0.369844,1.885,2.42675,2.8285,2.864,3.353
16,9.48972,8.02268,6.076,7.193,7.6475,9.51625,52.87
32,40.5387,1.22064,39.111,40.0018,40.159,40.578,44.279
64,294.755,17.8261,286.559,287.677,289.702,295.726,383.08
128,2262.63,20.8105,2240.24,2246.85,2255.25,2274.41,2305.12
256,17911.5,307.224,17759.5,17787.1,17807.6,17864.5,19125.3
512,143380,2162.9,141999,142207,142479,143199,151624
1024,1.20113e+06,49706.1,1.15228e+06,1.16573e+06,1.18225e+06,1.22229e+06,1.37279e+06
