n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,2.67547,0.378527,1.955,2.375,2.6185,2.863,3.841
4,3.31062,0.512802,2.374,2.863,3.387,3.771,3.911
8,4.07219,0.585481,3.282,3.68375,4.19,4.33,5.727
16,10.3289,1.54926,9.078,9.54975,10.0215,10.2133,17.528
32,47.4433,3.86723,44.345,45.3398,45.881,46.858,57.962
64,466.855,8.34697,454.409,461.636,466.49,470.139,490.374
128,3850.93,179.516,3696.93,3759.05,3809.3,3874.91,4556.66
256,28064.8,700.962,27634.3,27725.7,27818.8,27990.7,31198.2
512,202789,5664.82,197716,199237,200542,204966,220353
1024,1.42363e+06,6031.98,1.41619e+06,1.41918e+06,1.42286e+06,1.42508e+06,1.44427e+06
