n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,39.2744,7.78507,30.035,31.9028,35.518,46.5012,55.32
4,28.3977,10.7009,15.157,19.9595,31.257,32.0425,58.673
8,111.904,6.74447,99.743,109.435,110.954,112.543,134.668
16,782.752,40.6378,733.059,759.689,772.944,786.197,924.515
32,5701.77,505.931,5175.56,5408.47,5553.13,5705.82,7091.09
64,39065.2,1849.84,37102.7,37518.9,37868.9,41176,42083.6
128,262052,5024.61,254013,260816,261909,262718,284874
256,1.85935e+06,16584.3,1.82544e+06,1.85206e+06,1.85974e+06,1.86533e+06,1.91794e+06
512,1.30045e+07,150391,1.28481e+07,1.29009e+07,1.29627e+07,1.30389e+07,1.34934e+07
1024,9.07192e+07,516937,9.00568e+07,9.03887e+07,9.06047e+07,9.09433e+07,9.29094e+07
