n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,3.97222,1.20336,2.375,3.282,3.772,4.69725,8.172
4,3.10809,1.05642,1.886,2.37475,2.8285,3.37025,5.797
8,3.10131,0.603897,1.955,2.706,3.108,3.422,4.26
16,9.10997,3.14651,7.543,8.01375,8.171,9.568,25.702
32,42.2933,3.17368,39.181,40.7003,41.4505,42.2015,55.804
64,338.467,40.763,288.654,307.739,319.769,388.738,400.959
128,2479.84,263.435,2279,2321.5,2354.71,2436.26,3035.31
256,18544,722.515,17890.7,18218.8,18481.9,18619,21763
512,143027,1964.24,141964,142307,142584,142723,153104
1024,1.15422e+06,31224.8,1.13125e+06,1.13631e+06,1.14103e+06,1.15916e+06,1.263e+06
