n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,7.16766,2.27155,4.33,5.65775,6.216,8.10225,13.759
4,2.88772,0.383627,1.886,2.794,2.864,3.282,3.772
8,4.28012,0.592591,2.863,3.842,4.26,4.679,5.727
16,9.86534,0.870083,8.451,9.56875,9.708,10.0053,12.851
32,44.5947,5.40973,41.556,42.2375,42.6395,43.6872,69.284
64,451.09,14.224,436.17,440.169,447.38,457.996,493.511
128,3653.56,136.46,3479.65,3567.98,3612.28,3701.77,4112.22
256,27856.4,2119.66,26110.2,26446.1,26835.5,28858.7,33576.7
512,189360,1827.13,187514,187990,188856,190064,195153
1024,1.34396e+06,5390.16,1.33619e+06,1.34061e+06,1.34247e+06,1.34471e+06,1.35864e+06
