n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,49.6309,8.84037,16.692,44.7335,47.876,56.641,61.251
4,16.5479,0.606492,15.295,16.1155,16.657,16.9885,17.67
8,118.165,5.88967,112.375,114.574,115.587,117.56,135.631
16,811.266,16.7245,785.642,800.013,805.267,818.328,853.878
32,5582.52,78.6152,5451.8,5548.11,5573.39,5608,5841.79
64,39179,333.678,38582.7,39040.1,39117.1,39324.4,40238.1
128,272612,1213.01,269602,271934,272738,273337,274682
256,1.90764e+06,8273.49,1.89034e+06,1.90247e+06,1.90973e+06,1.91256e+06,1.92171e+06
512,1.34673e+07,164834,1.32921e+07,1.33671e+07,1.34136e+07,1.34955e+07,1.39828e+07
1024,9.40589e+07,526384,9.33143e+07,9.36952e+07,9.39661e+07,9.42482e+07,9.55481e+07
